[rosmaster.main][INFO] 2017-10-09 13:17:15,652: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 13:17:15,652: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 13:17:15,656: XML-RPC server binding to 0.0.0.0:39127
[xmlrpc][INFO] 2017-10-09 13:17:15,660: Started XML-RPC server [http://ip-172-31-19-100:39127/]
[rosmaster.master][INFO] 2017-10-09 13:17:15,660: Master initialized: port[39127], uri[http://ip-172-31-19-100:39127/]
[xmlrpc][INFO] 2017-10-09 13:17:15,663: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 13:17:15,749: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:15,757: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__33278] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:15,848: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:15,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:15,856: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:15,860: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:15,866: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:15,875: +SUB [/rosout] /rosout http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:16,112: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,116: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,120: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,129: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,135: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,146: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,150: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,154: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,157: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:16,158: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,171: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:16,178: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:60213/
[rosmaster.master][INFO] 2017-10-09 13:17:17,764: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51163] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,771: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,776: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,780: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,785: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,799: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,803: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,808: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,812: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:17,815: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:17:18,002: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:56110/
[rosmaster.master][INFO] 2017-10-09 13:17:18,014: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:56110/
[rosmaster.master][INFO] 2017-10-09 13:17:18,020: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:56110/
[rosmaster.master][INFO] 2017-10-09 13:17:18,025: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:56110/
[rosmaster.master][INFO] 2017-10-09 13:17:18,060: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:18,489: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:52446/
[rosmaster.master][INFO] 2017-10-09 13:17:18,504: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:52446/
[rosmaster.master][INFO] 2017-10-09 13:17:18,508: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:52446/
[rosmaster.master][INFO] 2017-10-09 13:17:18,533: +PUB [/rosout] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,555: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,561: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:18,562: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,566: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37444/
[rosmaster.master][INFO] 2017-10-09 13:17:18,570: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,585: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,590: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,594: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,599: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,603: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,609: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,614: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,619: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,627: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,631: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,636: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,640: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,651: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,657: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:40892/
[rosmaster.master][INFO] 2017-10-09 13:17:18,661: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:40892/
