[rosmaster.main][INFO] 2017-10-09 15:23:30,858: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:23:30,858: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:23:30,862: XML-RPC server binding to 0.0.0.0:49565
[xmlrpc][INFO] 2017-10-09 15:23:30,865: Started XML-RPC server [http://ip-172-31-19-100:49565/]
[rosmaster.master][INFO] 2017-10-09 15:23:30,866: Master initialized: port[49565], uri[http://ip-172-31-19-100:49565/]
[xmlrpc][INFO] 2017-10-09 15:23:30,869: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:23:30,977: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:30,986: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__38695] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:31,083: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:31,087: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:31,092: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:31,102: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:31,109: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:31,124: +SUB [/rosout] /rosout http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:31,172: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,177: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,181: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,189: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,196: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,205: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,209: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,213: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,217: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,226: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,233: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:43856/
[rosmaster.master][INFO] 2017-10-09 15:23:31,262: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:32,706: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__34652] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,713: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,723: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,726: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,730: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,733: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,743: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,747: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,750: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:32,754: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:23:33,182: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:58362/
[rosmaster.master][INFO] 2017-10-09 15:23:33,187: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:58362/
[rosmaster.master][INFO] 2017-10-09 15:23:33,195: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:58362/
[rosmaster.master][INFO] 2017-10-09 15:23:33,204: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:58362/
[rosmaster.master][INFO] 2017-10-09 15:23:33,266: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49414/
[rosmaster.master][INFO] 2017-10-09 15:23:33,592: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:52359/
[rosmaster.master][INFO] 2017-10-09 15:23:33,605: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:52359/
[rosmaster.master][INFO] 2017-10-09 15:23:33,609: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:52359/
